,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,1,-4,major,0,rest,,,,,,,,0.125,0
1,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,rest,,,,,,,,0.0625,0.25
2,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,Eb6,Eb,E,-1.0,6,87.0,3.0,0.0625,0.375
3,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,C6,C,C,0.0,6,84.0,0.0,0.0625,0.5
4,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,Ab5,Ab,A,-1.0,5,80.0,8.0,0.0625,0.625
5,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,0.75
6,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,0.875
7,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,1.125
8,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.0625,1.25
9,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,1.375
10,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,1.5
11,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,1.625
12,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.0625,1.75
13,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,1.875
14,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,2.0
15,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.0625,2.125
16,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,rest,,,,,,,,0.0625,2.25
17,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,Eb6,Eb,E,-1.0,6,87.0,3.0,0.0625,2.375
18,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,C6,C,C,0.0,6,84.0,0.0,0.0625,2.5
19,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,Ab5,Ab,A,-1.0,5,80.0,8.0,0.0625,2.625
20,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,2.75
21,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,2.875
22,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,4,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,3.125
23,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.0625,3.25
24,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,3.375
25,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,3.5
26,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,3.625
27,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.0625,3.75
28,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,3.875
29,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,4.0
30,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,5,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.0625,4.125
31,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,4.25
32,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,4.5
33,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,4.625
34,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.0625,4.75
35,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,4.875
36,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,5.0
37,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,5.25
38,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,5.5
39,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,5.625
40,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.0625,5.75
41,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,5.875
42,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,7,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,6.0
43,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,rest,,,,,,,,0.0625,6.25
44,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.0625,6.375
45,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.0625,6.5
46,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,6.625
47,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,rest,,,,,,,,0.0625,6.75
48,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,6.875
49,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.0625,7.0
50,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,8,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,7.125
51,..\data\scores\Joplin_Scott\leola.xml,Joplin_Scott,leola,9,,,,rest,,,,,,,,0.0625,7.25
