,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,1,-2,major,0,note,F4,F,F,0,4,65,5,0.125,0
1,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,1,-2,major,0,note,E4,E,E,0,4,64,4,0.25,0.25
2,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,1,-2,major,0,note,Eb4,Eb,E,-1,4,63,3,0.125,0.75
3,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,1,-2,major,0,note,Eb4,Eb,E,-1,4,63,3,0.5,1.0
4,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,2,,,,note,F4,F,F,0,4,65,5,0.125,2.0
5,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.25,2.25
6,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,2,,,,note,D4,D,D,0,4,62,2,0.125,2.75
7,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,2,,,,note,D4,D,D,0,4,62,2,0.5,3.0
8,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,F4,F,F,0,4,65,5,0.125,4.0
9,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,F#4,F#,F,1,4,66,6,0.125,4.25
10,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,G4,G,G,0,4,67,7,0.125,4.5
11,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,G#4,G#,G,1,4,68,8,0.125,4.75
12,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,G#4,G#,G,1,4,68,8,0.125,5.0
13,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,A4,A,A,0,4,69,9,0.125,5.25
14,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,5.5
15,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,3,,,,note,B4,B,B,0,4,71,11,0.125,5.75
16,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,note,C5,C,C,0,5,72,0,0.25,6.0
17,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,rest,,,,,,,,0.25,6.5
18,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,note,F5,F,F,0,5,77,5,0.25,7.0
19,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,note,C5,C,C,0,5,72,0,1.0,7.0
20,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,note,A4,A,A,0,4,69,9,1.0,7.0
21,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,note,F4,F,F,0,4,65,5,1.0,7.0
22,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,4,,,,rest,,,,,,,,0.25,7.5
23,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,D4,D,D,0,4,62,2,0.125,8.0
24,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,8.25
25,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,G4,G,G,0,4,67,7,0.125,8.5
26,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,F4,F,F,0,4,65,5,0.125,8.75
27,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,9.0
28,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,C5,C,C,0,5,72,0,0.25,9.25
29,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,C#5,C#,C,1,5,73,1,0.125,9.75
30,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,D4,D,D,0,4,62,2,0.5,8.0
31,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,5,,,,note,Eb4,Eb,E,-1,4,63,3,0.5,9.0
32,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,D5,D,D,0,5,74,2,0.125,10.0
33,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,F4,F,F,0,4,65,5,0.125,10.25
34,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,10.5
35,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,D4,D,D,0,4,62,2,0.125,10.75
36,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,G4,G,G,0,4,67,7,0.125,11.0
37,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,F4,F,F,0,4,65,5,0.375,11.25
38,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,D4,D,D,0,4,62,2,0.5,10.0
39,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,C#4,C#,C,1,4,61,1,0.125,11.0
40,..\data\scores\Joplin_Scott\magnetic.xml,Joplin_Scott,magnetic,6,,,,note,D4,D,D,0,4,62,2,0.375,11.25
