,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,1,1,major,0,note,D5,D,D,0,5,74,2,0.125,0
1,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,1,1,major,0,note,A4,A,A,0,4,69,9,0.125,0.25
2,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0.5
3,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,1,1,major,0,note,C5,C,C,0,5,72,0,0.375,0.75
4,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,2,,,,note,D5,D,D,0,5,74,2,0.125,1.5
5,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,2,,,,note,G4,G,G,0,4,67,7,0.125,1.75
6,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,2,,,,note,A4,A,A,0,4,69,9,0.125,2.0
7,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,2,,,,note,B4,B,B,0,4,71,11,0.375,2.25
8,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,G4,G,G,0,4,67,7,0.25,3.0
9,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,A#4,A#,A,1,4,70,10,0.125,3.5
10,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,C#5,C#,C,1,5,73,1,0.25,3.75
11,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,C#5,C#,C,1,5,73,1,0.125,4.25
12,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,A4,A,A,0,4,69,9,1.0,4.25
13,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,G4,G,G,0,4,67,7,1.0,4.25
14,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,3,,,,note,C#4,C#,C,1,4,61,1,1.0,4.25
15,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,note,D5,D,D,0,5,74,2,0.125,4.5
16,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,note,A4,A,A,0,4,69,9,1.0,4.5
17,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,note,F#4,F#,F,1,4,66,6,1.0,4.5
18,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,note,D4,D,D,0,4,62,2,1.0,4.5
19,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,rest,,,,,,,,0.125,4.75
20,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,rest,,,,,,,,0.125,5.0
21,..\data\scores\Joplin_Scott\majestic.xml,Joplin_Scott,majestic,4,,,,note,B4,B,B,0,4,71,11,0.125,5.25
