,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,C#4,C#,C,1,4,61,1,0.125,0
1,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,E4,E,E,0,4,64,4,0.125,0
2,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,B3,B,B,0,3,59,11,0.125,0.25
3,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,D#4,D#,D,1,4,63,3,0.125,0.25
4,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,B3,B,B,0,3,59,11,0.5,0.5
5,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,1,5,major,0,note,D#4,D#,D,1,4,63,3,0.5,0.5
6,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,C#4,C#,C,1,4,61,1,0.125,1.5
7,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,E4,E,E,0,4,64,4,0.125,1.5
8,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,B3,B,B,0,3,59,11,0.125,1.75
9,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,D#4,D#,D,1,4,63,3,0.125,1.75
10,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,B3,B,B,0,3,59,11,0.5,2.0
11,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,2,,,,note,D#4,D#,D,1,4,63,3,0.5,2.0
12,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,C#4,C#,C,1,4,61,1,0.125,3.0
13,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,E4,E,E,0,4,64,4,0.125,3.0
14,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,B3,B,B,0,3,59,11,0.125,3.25
15,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,D#4,D#,D,1,4,63,3,0.125,3.25
16,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,B3,B,B,0,3,59,11,0.5,3.5
17,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,3,,,,note,D#4,D#,D,1,4,63,3,0.5,3.5
18,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,4,,,,note,C#4,C#,C,1,4,61,1,0.125,4.5
19,..\data\scores\Chopin_Frederic\mazurka41-3.xml,Chopin_Frederic,mazurka41-3,4,,,,note,E4,E,E,0,4,64,4,0.125,4.5
