,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,1,1,major,0,note,E3,E,E,0,3,52,4,0.75,0
1,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,1,1,major,0,note,D#3,D#,D,1,3,51,3,0.25,1.5
2,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,2,,,,note,E3,E,E,0,3,52,4,0.25,2.0
3,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,2,,,,note,E3,E,E,0,3,52,4,0.125,2.5
4,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,2,,,,note,D3,D,D,0,3,50,2,0.125,2.75
5,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,2,,,,note,C3,C,C,0,3,48,0,0.25,3.0
6,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,2,,,,note,G#2,G#,G,1,2,44,8,0.25,3.5
7,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,3,,,,note,A2,A,A,0,2,45,9,0.25,4.0
8,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,3,,,,note,B2,B,B,0,2,47,11,0.25,4.5
9,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,3,,,,note,C3,C,C,0,3,48,0,0.5,5.0
10,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,4,,,,note,B2,B,B,0,2,47,11,0.5,6.0
11,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,4,,,,rest,,,,,,,,0.5,7.0
12,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,5,,,,note,B3,B,B,0,3,59,11,0.75,8.0
13,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,5,,,,note,A#3,A#,A,1,3,58,10,0.25,9.5
14,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,6,,,,note,B3,B,B,0,3,59,11,0.25,10.0
15,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,6,,,,note,B3,B,B,0,3,59,11,0.125,10.5
16,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,6,,,,note,A3,A,A,0,3,57,9,0.125,10.75
17,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,6,,,,note,G3,G,G,0,3,55,7,0.25,11.0
18,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,6,,,,note,D#3,D#,D,1,3,51,3,0.25,11.5
19,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,7,,,,note,E3,E,E,0,3,52,4,0.25,12.0
20,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,7,,,,note,F#3,F#,F,1,3,54,6,0.25,12.5
21,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,7,,,,note,G3,G,G,0,3,55,7,0.5,13.0
22,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,8,,,,note,F#3,F#,F,1,3,54,6,0.5,14.0
23,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,8,,,,note,F#3,F#,F,1,3,54,6,0.5,15.0
24,..\data\scores\Corelli_Arcangelo\op01n02a.xml,Corelli_Arcangelo,op01n02a,9,,,,note,D3,D,D,0,3,50,2,0.375,16.0
