,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,1,2,major,0,note,A2,A,A,0,2,45,9,0.25,0
1,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,1,2,major,0,note,A3,A,A,0,3,57,9,0.5,0.5
2,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,1,2,major,0,note,G#3,G#,G,1,3,56,8,0.25,1.5
3,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,2,,,,note,A3,A,A,0,3,57,9,0.25,2.0
4,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,2,,,,rest,,,,,,,,0.125,2.5
5,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,2,,,,note,C#4,C#,C,1,4,61,1,0.125,2.75
6,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,2,,,,note,B3,B,B,0,3,59,11,0.25,3.0
7,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,2,,,,note,B2,B,B,0,2,47,11,0.25,3.5
8,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,3,,,,note,E3,E,E,0,3,52,4,0.375,4.0
9,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,3,,,,note,C#3,C#,C,1,3,49,1,0.125,4.75
10,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,3,,,,note,D3,D,D,0,3,50,2,0.375,5.0
11,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,3,,,,note,B2,B,B,0,2,47,11,0.125,5.75
12,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,E3,E,E,0,3,52,4,0.125,6.0
13,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,A2,A,A,0,2,45,9,0.125,6.25
14,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,C#3,C#,C,1,3,49,1,0.125,6.5
15,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,A2,A,A,0,2,45,9,0.125,6.75
16,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,B2,B,B,0,2,47,11,0.25,7.0
17,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,4,,,,note,E2,E,E,0,2,40,4,0.25,7.5
18,..\data\scores\Corelli_Arcangelo\op01n03b.xml,Corelli_Arcangelo,op01n03b,5,,,,note,A2,A,A,0,2,45,9,0.25,8.0
