,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,1,-1,major,0,note,G2,G,G,0,2,43,7,0.25,0
1,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,1,-1,major,0,note,G3,G,G,0,3,55,7,0.125,0.5
2,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,1,-1,major,0,note,G3,G,G,0,3,55,7,0.25,0.75
3,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,1,-1,major,0,note,F3,F,F,0,3,53,5,0.125,1.25
4,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,2,,,,note,Eb3,Eb,E,-1,3,51,3,0.25,1.5
5,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,2,,,,note,C3,C,C,0,3,48,0,0.125,2.0
6,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,2,,,,note,D3,D,D,0,3,50,2,0.25,2.25
7,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,2,,,,note,D2,D,D,0,2,38,2,0.125,2.75
8,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,3,,,,note,G2,G,G,0,2,43,7,0.25,3.0
9,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,3,,,,note,G3,G,G,0,3,55,7,0.125,3.5
10,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,3,,,,note,F3,F,F,0,3,53,5,0.25,3.75
11,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,3,,,,note,D3,D,D,0,3,50,2,0.125,4.25
12,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,4,,,,note,A3,A,A,0,3,57,9,0.25,4.5
13,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,4,,,,note,A2,A,A,0,2,45,9,0.125,5.0
14,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,4,,,,note,Bb2,Bb,B,-1,2,46,10,0.25,5.25
15,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,4,,,,note,D3,D,D,0,3,50,2,0.125,5.75
16,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,5,,,,note,A2,A,A,0,2,45,9,0.125,6.0
17,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,5,,,,note,A2,A,A,0,2,45,9,0.25,6.25
18,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,5,,,,note,D3,D,D,0,3,50,2,0.25,6.75
19,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,5,,,,note,Bb2,Bb,B,-1,2,46,10,0.125,7.25
20,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,6,,,,note,A2,A,A,0,2,45,9,0.25,7.5
21,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,6,,,,note,A2,A,A,0,2,45,9,0.125,8.0
22,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,6,,,,note,G2,G,G,0,2,43,7,0.25,8.25
23,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,6,,,,note,Bb2,Bb,B,-1,2,46,10,0.125,8.75
24,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,A2,A,A,0,2,45,9,0.125,9.0
25,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,Bb2,Bb,B,-1,2,46,10,0.0625,9.25
26,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,C3,C,C,0,3,48,0,0.0625,9.375
27,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,D3,D,D,0,3,50,2,0.125,9.5
28,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,G2,G,G,0,2,43,7,0.125,9.75
29,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,7,,,,note,G3,G,G,0,3,55,7,0.25,10.0
30,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,8,,,,note,G3,G,G,0,3,55,7,0.125,10.5
31,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,8,,,,note,F#3,F#,F,1,3,54,6,0.25,10.75
32,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,8,,,,note,G3,G,G,0,3,55,7,0.125,11.25
33,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,8,,,,note,D3,D,D,0,3,50,2,0.25,11.5
34,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,9,,,,note,A3,A,A,0,3,57,9,0.125,12.0
35,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,9,,,,note,A2,A,A,0,2,45,9,0.25,12.25
36,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,9,,,,note,D3,D,D,0,3,50,2,0.125,12.75
37,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,9,,,,note,G2,G,G,0,2,43,7,0.25,13.0
38,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,10,,,,note,D3,D,D,0,3,50,2,0.125,13.5
39,..\data\scores\Corelli_Arcangelo\op01n10c.xml,Corelli_Arcangelo,op01n10c,10,,,,note,D2,D,D,0,2,38,2,0.25,13.75
