,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,1,-1,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,1,-1,major,0,rest,,,,,,,,0.5,1.0
2,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.5,2.0
3,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,2,,,,note,D3,D,D,0.0,3,50.0,2.0,1.0,3.0
4,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.5,5.0
5,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,3,,,,note,F3,F,F,0.0,3,53.0,5.0,1.0,6.0
6,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,3,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.5,8.0
7,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,4,,,,note,G3,G,G,0.0,3,55.0,7.0,1.0,9.0
8,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,4,,,,note,F3,F,F,0.0,3,53.0,5.0,0.5,11.0
9,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,5,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,1.0,12.0
10,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,5,,,,note,C3,C,C,0.0,3,48.0,0.0,0.5,14.0
11,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,6,,,,note,D3,D,D,0.0,3,50.0,2.0,1.0,15.0
12,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,6,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.5,17.0
13,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,7,,,,note,C3,C,C,0.0,3,48.0,0.0,0.5,18.0
14,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,7,,,,note,D3,D,D,0.0,3,50.0,2.0,1.0,19.0
15,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,8,,,,note,G2,G,G,0.0,2,43.0,7.0,1.0,21.0
16,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,8,,,,note,G2,G,G,0.0,2,43.0,7.0,0.5,23.0
17,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,9,,,,note,A2,A,A,0.0,2,45.0,9.0,1.0,24.0
18,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,9,,,,note,A2,A,A,0.0,2,45.0,9.0,0.5,26.0
19,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,10,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,1.0,27.0
20,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,10,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.5,29.0
21,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,11,,,,note,A3,A,A,0.0,3,57.0,9.0,1.0,30.0
22,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,11,,,,note,F3,F,F,0.0,3,53.0,5.0,0.5,32.0
23,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,12,,,,note,G3,G,G,0.0,3,55.0,7.0,1.0,33.0
24,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,12,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.5,35.0
25,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,13,,,,note,F3,F,F,0.0,3,53.0,5.0,1.0,36.0
26,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,13,,,,note,G3,G,G,0.0,3,55.0,7.0,0.5,38.0
27,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,14,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.5,39.0
28,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,14,,,,note,F3,F,F,0.0,3,53.0,5.0,1.0,40.0
29,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,15,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,1.0,42.0
30,..\data\scores\Corelli_Arcangelo\op01n10d.xml,Corelli_Arcangelo,op01n10d,15,,,,note,G3,G,G,0.0,3,55.0,7.0,0.5,44.0
