,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.25,0.0
2,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.25,0.5
3,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.25,0.5
4,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.25,1.0
5,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,1,0,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.25,1.0
6,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,rest,,,,,,,,0.25,1.5
7,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,1.5
8,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,2.0
9,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,2.0
10,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,2.5
11,..\data\scores\Grieg_Edvard\op12-2_labelled.xml,Grieg_Edvard,op12-2_labelled,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,2.5
