,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,1,-1,major,0,note,Bb3,Bb,B,-1,3,58,10,0.5,0
1,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,1.0
2,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,1.5
3,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,2,,,,note,D3,D,D,0,3,50,2,0.25,2.0
4,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,2,,,,note,F3,F,F,0,3,53,5,0.25,2.5
5,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,3,,,,note,Bb2,Bb,B,-1,2,46,10,0.5,3.0
6,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,4.0
7,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,4,,,,note,A3,A,A,0,3,57,9,0.5,4.5
8,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,4,,,,note,A3,A,A,0,3,57,9,0.25,5.5
9,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,5,,,,note,G3,G,G,0,3,55,7,0.25,6.0
10,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,5,,,,note,C4,C,C,0,4,60,0,0.25,6.5
11,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,5,,,,note,C3,C,C,0,3,48,0,0.25,7.0
12,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,6,,,,note,F3,F,F,0,3,53,5,0.5,7.5
13,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,6,,,,rest,,,,,,,,0.25,8.5
14,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,7,,,,note,D3,D,D,0,3,50,2,0.5,9.0
15,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,7,,,,rest,,,,,,,,0.25,10.0
16,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,8,,,,note,Eb3,Eb,E,-1,3,51,3,0.5,10.5
17,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,8,,,,rest,,,,,,,,0.25,11.5
18,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,9,,,,note,E3,E,E,0,3,52,4,0.5,12.0
19,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,9,,,,rest,,,,,,,,0.25,13.0
20,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,10,,,,note,F3,F,F,0,3,53,5,0.5,13.5
21,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,10,,,,rest,,,,,,,,0.25,14.5
22,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,11,,,,note,D3,D,D,0,3,50,2,0.5,15.0
23,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,11,,,,note,D3,D,D,0,3,50,2,0.25,16.0
24,..\data\scores\Corelli_Arcangelo\op5n2-03.xml,Corelli_Arcangelo,op5n2-03,12,,,,note,Eb3,Eb,E,-1,3,51,3,0.5,16.5
