,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0,0
1,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,0
2,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.3750009375023438
3,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,0.7500018750046876
4,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,E4,E,E,0,4,64,4,0.125,1.1250028125070315
5,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,F4,F,F,0,4,65,5,0.125,1.5000037500093752
6,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,1.875004687511719
7,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,1,-1,major,0,rest,,,,,,,,0.25,0.0
8,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,note,A4,A,A,0,4,69,9,0.75,2.250005625014063
9,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,rest,,,,,,,,0.25,2.250005625014063
10,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,note,F4,F,F,0,4,65,5,0.25,3.0000075000187505
11,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,rest,,,,,,,,0.25,3.750009375023438
12,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,rest,,,,,,,,0.25,2.250005625014063
13,..\data\scores\Grieg_Edvard\op65-1.mxl,Grieg_Edvard,op65-1,2,,,,note,A2,A,A,0,2,45,9,0.25,3.0000075000187505
