,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,G4,G,G,0,4,67,7,0.0625,0
1,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,F4,F,F,0,4,65,5,0.125,0.125
2,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,Eb4,Eb,E,-1,4,63,3,0.0625,0.375
3,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.5
4,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,C#4,C#,C,1,4,61,1,0.0625,0.625
5,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.75
6,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,1,-2,major,0,note,C4,C,C,0,4,60,0,0.0625,0.875
7,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.0625,1.0
8,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,2,,,,note,C4,C,C,0,4,60,0,0.0625,1.125
9,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,2,,,,note,D4,D,D,0,4,62,2,0.0625,1.25
10,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,2,,,,note,F4,F,F,0,4,65,5,0.0625,1.375
11,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,2,,,,note,F4,F,F,0,4,65,5,0.25,1.5
12,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,G4,G,G,0,4,67,7,0.0625,2.0
13,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,G4,G,G,0,4,67,7,0.125,2.125
14,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,F#4,F#,F,1,4,66,6,0.0625,2.375
15,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,G4,G,G,0,4,67,7,0.0625,2.5
16,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,A4,A,A,0,4,69,9,0.0625,2.625
17,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,2.75
18,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,4,,,,note,C5,C,C,0,5,72,0,0.125,3.0
19,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,4,,,,note,F4,F,F,0,4,65,5,0.125,3.25
20,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,4,,,,note,F4,F,F,0,4,65,5,0.125,3.5
21,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,4,,,,note,F4,F,F,0,4,65,5,0.125,3.75
22,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,G5,G,G,0,5,79,7,0.0625,4.0
23,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,D5,D,D,0,5,74,2,1.0,4.0
24,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,Bb4,Bb,B,-1,4,70,10,1.0,4.0
25,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,F5,F,F,0,5,77,5,0.125,4.125
26,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,4.375
27,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,D5,D,D,0,5,74,2,0.0625,4.5
28,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,C#5,C#,C,1,5,73,1,0.0625,4.625
29,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,D5,D,D,0,5,74,2,0.0625,4.75
30,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,5,,,,note,C5,C,C,0,5,72,0,0.0625,4.875
31,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,5.0
32,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,6,,,,note,C5,C,C,0,5,72,0,0.0625,5.125
33,..\data\scores\Joplin_Scott\pineapple.xml,Joplin_Scott,pineapple,6,,,,note,D5,D,D,0,5,74,2,0.0625,5.25
