,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.125,0
1,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,1,-2,major,0,note,G4,G,G,0,4,67,7,0.125,0.25
2,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,1,-2,major,0,note,G4,G,G,0,4,67,7,0.0625,0.5
3,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,1,-2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.625
4,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,1,-2,major,0,note,G4,G,G,0,4,67,7,0.125,0.75
5,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,2,,,,note,F4,F,F,0,4,65,5,0.125,1.0
6,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,2,,,,note,D4,D,D,0,4,62,2,0.125,1.25
7,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,2,,,,note,D4,D,D,0,4,62,2,0.0625,1.5
8,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.0625,1.625
9,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,2,,,,note,D4,D,D,0,4,62,2,0.125,1.75
10,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,C4,C,C,0,4,60,0,0.125,2.0
11,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,2.25
12,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.0625,2.5
13,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,D4,D,D,0,4,62,2,0.0625,2.625
14,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,F4,F,F,0,4,65,5,0.0625,2.75
15,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,3,,,,note,D5,D,D,0,5,74,2,0.0625,2.875
16,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,4,,,,note,C5,C,C,0,5,72,0,0.125,3.0
17,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,4,,,,rest,,,,,,,,0.125,3.25
18,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,4,,,,note,F5,F,F,0,5,77,5,0.125,3.5
19,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,4,,,,note,C5,C,C,0,5,72,0,1.0,3.5
20,..\data\scores\Joplin_Scott\searchlight.xml,Joplin_Scott,searchlight,4,,,,note,A4,A,A,0,4,69,9,1.0,3.5
