,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,0
1,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,B4,B,B,0,4,71,11,0.08333333333333333,0.16666666666666666
2,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,G#4,G#,G,1,4,68,8,0.08333333333333333,0.3333333333333333
3,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,0.5
4,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,B4,B,B,0,4,71,11,0.08333333333333333,0.6666666666666666
5,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,1,2,major,0,note,C#5,C#,C,1,5,73,1,0.08333333333333333,0.8333333333333333
6,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,0.9999999999999999
7,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,1.1666666666666665
8,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,C#5,C#,C,1,5,73,1,0.08333333333333333,1.3333333333333333
9,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,1.5
10,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,1.6666666666666667
11,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,C#5,C#,C,1,5,73,1,0.08333333333333333,1.8333333333333335
12,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,2.0
13,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,F#5,F#,F,1,5,78,6,0.08333333333333333,2.1666666666666665
14,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,2.333333333333333
15,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,2.4999999999999996
16,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,2.666666666666666
17,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,2,,,,note,F#5,F#,F,1,5,78,6,0.08333333333333333,2.8333333333333326
18,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,G5,G,G,0,5,79,7,0.08333333333333333,2.999999999999999
19,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,A5,A,A,0,5,81,9,0.08333333333333333,3.1666666666666656
20,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,F#5,F#,F,1,5,78,6,0.08333333333333333,3.333333333333332
21,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,G5,G,G,0,5,79,7,0.08333333333333333,3.4999999999999987
22,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,3.666666666666665
23,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,3.8333333333333317
24,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,C#5,C#,C,1,5,73,1,0.08333333333333333,3.9999999999999982
25,data\scores\Mozart\sonata06-3b.xml,Mozart,sonata06-3b,3,,,,note,E5,E,E,0,5,76,4,0.08333333333333333,4.166666666666665
