,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A4,A,A,0,4,69,9,0.25,0
1,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A5,A,A,0,5,81,9,0.25,0
2,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A4,A,A,0,4,69,9,0.125,0.5
3,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A5,A,A,0,5,81,9,0.125,0.5
4,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A4,A,A,0,4,69,9,0.125,0.75
5,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,1,2,major,0,note,A5,A,A,0,5,81,9,0.125,0.75
6,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D5,D,D,0,5,74,2,0.25,1.0
7,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D6,D,D,0,6,86,2,0.25,1.0
8,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,rest,,,,,,,,0.25,1.5
9,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D5,D,D,0,5,74,2,0.25,2.0
10,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D6,D,D,0,6,86,2,0.25,2.0
11,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D5,D,D,0,5,74,2,0.125,2.5
12,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D6,D,D,0,6,86,2,0.125,2.5
13,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D5,D,D,0,5,74,2,0.125,2.75
14,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,2,,,,note,D6,D,D,0,6,86,2,0.125,2.75
15,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G4,G,G,0,4,67,7,0.25,3.0
16,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G5,G,G,0,5,79,7,0.25,3.0
17,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,rest,,,,,,,,0.25,3.5
18,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G4,G,G,0,4,67,7,0.25,4.0
19,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G5,G,G,0,5,79,7,0.25,4.0
20,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G4,G,G,0,4,67,7,0.125,4.5
21,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G5,G,G,0,5,79,7,0.125,4.5
22,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G4,G,G,0,4,67,7,0.125,4.75
23,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,3,,,,note,G5,G,G,0,5,79,7,0.125,4.75
24,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,F#4,F#,F,1,4,66,6,0.125,5.0
25,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,F#5,F#,F,1,5,78,6,0.125,5.0
26,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,G4,G,G,0,4,67,7,0.125,5.25
27,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,G5,G,G,0,5,79,7,0.125,5.25
28,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,G#4,G#,G,1,4,68,8,0.125,5.5
29,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,G#5,G#,G,1,5,80,8,0.125,5.5
30,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,A4,A,A,0,4,69,9,0.125,5.75
31,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,A5,A,A,0,5,81,9,0.125,5.75
32,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,A#4,A#,A,1,4,70,10,0.125,6.0
33,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,A#5,A#,A,1,5,82,10,0.125,6.0
34,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,B4,B,B,0,4,71,11,0.125,6.25
35,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,B5,B,B,0,5,83,11,0.125,6.25
36,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,C#5,C#,C,1,5,73,1,0.125,6.5
37,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,C#6,C#,C,1,6,85,1,0.125,6.5
38,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,D5,D,D,0,5,74,2,0.125,6.75
39,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,4,,,,note,D6,D,D,0,6,86,2,0.125,6.75
40,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,5,,,,note,D5,D,D,0,5,74,2,0.25,7.0
41,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,5,,,,note,F#5,F#,F,1,5,78,6,0.25,7.0
42,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,5,,,,note,C#5,C#,C,1,5,73,1,0.25,7.5
43,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,5,,,,note,E5,E,E,0,5,76,4,0.25,7.5
44,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,5,,,,rest,,,,,,,,0.5,8.0
45,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,rest,,,,,,,,0.125,9.0
46,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,D5,D,D,0,5,74,2,0.125,9.25
47,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,F#5,F#,F,1,5,78,6,0.125,9.25
48,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,E5,E,E,0,5,76,4,0.125,9.5
49,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,G5,G,G,0,5,79,7,0.125,9.5
50,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,F#5,F#,F,1,5,78,6,0.125,9.75
51,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,note,A5,A,A,0,5,81,9,0.125,9.75
52,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,6,,,,rest,,,,,,,,0.5,10.0
53,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,rest,,,,,,,,0.125,11.0
54,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,G#5,G#,G,1,5,80,8,0.125,11.25
55,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,B5,B,B,0,5,83,11,0.125,11.25
56,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,A5,A,A,0,5,81,9,0.125,11.5
57,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,C#6,C#,C,1,6,85,1,0.125,11.5
58,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,B5,B,B,0,5,83,11,0.125,11.75
59,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,D6,D,D,0,6,86,2,0.125,11.75
60,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E4,E,E,0,4,64,4,0.25,12.0
61,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E5,E,E,0,5,76,4,0.25,12.0
62,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E4,E,E,0,4,64,4,0.125,12.5
63,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E5,E,E,0,5,76,4,0.125,12.5
64,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E4,E,E,0,4,64,4,0.125,12.75
65,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,7,,,,note,E5,E,E,0,5,76,4,0.125,12.75
66,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,8,,,,note,E5,E,E,0,5,76,4,0.125,13.0
67,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,8,,,,note,E6,E,E,0,6,88,4,0.125,13.0
68,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,8,,,,rest,,,,,,,,0.125,13.25
69,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,8,,,,note,D5,D,D,0,5,74,2,0.125,13.5
70,data\scores\Mozart\sonata06-3i.xml,Mozart,sonata06-3i,8,,,,note,D6,D,D,0,6,86,2,0.125,13.5
