,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0
1,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,D5,D,D,0,5,74,2,0.0,0
2,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,C5,C,C,0,5,72,0,0.09375,0.25
3,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,B4,B,B,0,4,71,11,0.03125,0.4375
4,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,A4,A,A,0,4,69,9,0.125,0.5
5,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0.75
6,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,C5,C,C,0,5,72,0,0.125,1.0
7,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,D5,D,D,0,5,74,2,0.125,1.25
8,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,C5,C,C,0,5,72,0,0.0625,1.5
9,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,B4,B,B,0,4,71,11,0.0625,1.625
10,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,A4,A,A,0,4,69,9,0.0625,1.75
11,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,2,,,,note,G4,G,G,0,4,67,7,0.0625,1.875
12,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,3,,,,note,G4,G,G,0,4,67,7,0.125,2.0
13,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,3,,,,note,C5,C,C,0,5,72,0,0.125,2.0
14,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,3,,,,note,G4,G,G,0,4,67,7,0.125,2.25
15,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,3,,,,note,B4,B,B,0,4,71,11,0.125,2.25
16,data\scores\Mozart\sonata09-2.xml,Mozart,sonata09-2,3,,,,note,G4,G,G,0,4,67,7,0.125,2.5
