,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.1875,0
1,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,1,3,major,0,note,D5,D,D,0,5,74,2,0.0625,0.375
2,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.5
3,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,1,3,major,0,note,E5,E,E,0,5,76,4,0.25,0.75
4,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,1,3,major,0,note,E5,E,E,0,5,76,4,0.125,1.25
5,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,2,,,,note,B4,B,B,0,4,71,11,0.1875,1.5
6,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,1.875
7,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,2,,,,note,B4,B,B,0,4,71,11,0.125,2.0
8,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,2,,,,note,D5,D,D,0,5,74,2,0.25,2.25
9,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,2,,,,note,D5,D,D,0,5,74,2,0.125,2.75
10,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,3,,,,note,A4,A,A,0,4,69,9,0.25,3.0
11,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,3,,,,note,A4,A,A,0,4,69,9,0.125,3.5
12,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,3,,,,note,B4,B,B,0,4,71,11,0.25,3.75
13,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,3,,,,note,B4,B,B,0,4,71,11,0.125,4.25
14,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,C#5,C#,C,1,5,73,1,0.25,4.5
15,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,E5,E,E,0,5,76,4,0.0625,5.0
16,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,D5,D,D,0,5,74,2,0.0625,5.125
17,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,C#5,C#,C,1,5,73,1,0.25,5.25
18,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,B4,B,B,0,4,71,11,0.125,5.75
19,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,E4,E,E,0,4,64,4,0.25,4.5
20,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,B4,B,B,0,4,71,11,0.125,5.0
21,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,A4,A,A,0,4,69,9,0.25,5.25
22,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,4,,,,note,G#4,G#,G,1,4,68,8,0.125,5.75
23,data\scores\Mozart\sonata11-1a.xml,Mozart,sonata11-1a,5,,,,note,C#5,C#,C,1,5,73,1,0.1875,6.0
