,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,1,0,major,0,note,C5,C,C,0,5,72,0,0.1875,0
1,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,1,0,major,0,note,A4,A,A,0,4,69,9,0.0625,0.375
2,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,1,0,major,0,note,D4,D,D,0,4,62,2,0.125,0.5
3,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,1,0,major,0,note,C4,C,C,0,4,60,0,0.0625,0.75
4,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,1,0,major,0,note,D4,D,D,0,4,62,2,0.0625,0.875
5,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,2,,,,note,E4,E,E,0,4,64,4,0.125,1.0
6,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,2,,,,note,F4,F,F,0,4,65,5,0.25,1.25
7,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,2,,,,note,G4,G,G,0,4,67,7,0.125,1.75
8,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,E4,E,E,0,4,64,4,0.125,2.0
9,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,D4,D,D,0,4,62,2,0.0625,2.25
10,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,E4,E,E,0,4,64,4,0.0625,2.375
11,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,F4,F,F,0,4,65,5,0.0625,2.5
12,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,A4,A,A,0,4,69,9,0.125,2.625
13,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,2.875
14,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,4,,,,note,G4,G,G,0,4,67,7,0.25,3.0
15,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,4,,,,note,G5,G,G,0,5,79,7,0.125,3.5
16,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,4,,,,note,B4,B,B,0,4,71,11,1.0,3.5
17,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,4,,,,note,G4,G,G,0,4,67,7,1.0,3.5
18,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,4,,,,rest,,,,,,,,0.125,3.75
19,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,E4,E,E,0,4,64,4,0.0625,4.0
20,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,C4,C,C,0,4,60,0,1.0,4.0
21,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,F4,F,F,0,4,65,5,0.0625,4.125
22,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,D4,D,D,0,4,62,2,1.0,4.125
23,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,G4,G,G,0,4,67,7,0.0625,4.25
24,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,E4,E,E,0,4,64,4,1.0,4.25
25,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,A4,A,A,0,4,69,9,0.0625,4.375
26,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,D#4,D#,D,1,4,63,3,1.0,4.375
27,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,A4,A,A,0,4,69,9,0.0625,4.5
28,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,D#4,D#,D,1,4,63,3,1.0,4.5
29,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,D#5,D#,D,1,5,75,3,0.0625,4.625
30,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,F#4,F#,F,1,4,66,6,1.0,4.625
31,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,E5,E,E,0,5,76,4,0.0625,4.75
32,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,G4,G,G,0,4,67,7,1.0,4.75
33,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,C5,C,C,0,5,72,0,0.0625,4.875
34,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,5,,,,note,E4,E,E,0,4,64,4,1.0,4.875
35,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,6,,,,note,D5,D,D,0,5,74,2,0.125,5.0
36,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,6,,,,note,D5,D,D,0,5,74,2,0.0625,5.25
37,..\data\scores\Joplin_Scott\wallstreet.xml,Joplin_Scott,wallstreet,6,,,,note,E5,E,E,0,5,76,4,0.0625,5.375
